aacA4>/>emrE	aacA4|emrE
mprA>/>HYP	mprA|HYP
mprF</>rutC	mprF|rutC
M><Recombinase_Resolvase	M/Recombinase_Resolvase
mshD</>ydbD	mshD|ydbD
msrAB>/>DUF3519	msrAB|DUF3519
msrAB>/>Response_reg	msrAB|Response_reg
mta>>TipAS	mta/TipAS
mtnA>/>YvrJ	mtnA|YvrJ
M>/<Tnp_2_2	M|Tnp_2_2
MTS>>HYP	MTS/HYP
mucD>/>gmr	mucD|gmr
murF</>panD	murF|panD
murR>/>yfhL	murR|yfhL
N>/0	N
N6_Mtase><PhageIntegrase	N6_Mtase/PhageIntegrase
nadB>>HYP	nadB/HYP
nadE</>yxdM	nadE|yxdM
nahE>/>bphE	nahE|bphE
nanK>/>rpmE	nanK|rpmE
nboR>>smc	nboR/smc
NERD>/>DUF2960	NERD|DUF2960
N>>HYP	N/HYP
N>/>integrase	N|integrase
NIPSNAP>/>hemH	NIPSNAP|hemH
N>/<mbtI	N|mbtI
N,N>>HYP	N
nplT>/>Sel1	nplT|Sel1
N>/>TauD,N>/>Transposase_20	N|TauD
NUDIX</>mreC	NUDIX|mreC
obg>/<rpsT	obg|rpsT
oprF>>hcpA	oprF/hcpA
OPT>/<cusS	OPT|cusS
opuCC>>rstB	opuCC/rstB
OrigName	Comma-resolved
P12>/<luxS	P12|luxS
paaG</>sucA	paaG|sucA
padC>/>PadR	padC|PadR
PAP2>/>yhcR	PAP2|yhcR
patA>/>HYP	patA|HYP
pbpE>/>HYP	pbpE|HYP
PBP>/>ybhC	PBP|ybhC
pctC</>xthA	pctC|xthA
pdxT>/>Pyridox_oxidase	pdxT|Pyridox_oxidase
Pencillinase_R>>blaI	Pencillinase_R/blaI
Pencillinase_R</>def	Pencillinase_R|def
pepE>/<rpsA	pepE|rpsA
pepN>/>naiP	pepN|naiP
pepN</>pncB	pepN|pncB
Peptidase_M32>>ypwA	Peptidase_M32/ypwA
Peptidase_S8>>apr	Peptidase_S8/apr
Peptidase_S8>/>HYP	Peptidase_S8|HYP
Pertactin>/<yejM	Pertactin|yejM
Phage_GPD,CyaR_RyeE,Tail_P2_I>>Phage_GPD	CyaR_RyeE
Phage_GPD<>Terminase_6	Phage_GPD/Terminase_6
Phage_H_T_join<>hlb	Phage_H_T_join/hlb
PhageIntegrase</>ant1	PhageIntegrase|ant1
PhageIntegrase>>ant1	PhageIntegrase/ant1
PhageIntegrase>/>DUF2778,P	P
PhageIntegrase>>DUF305	PhageIntegrase/DUF305
PhageIntegrase>>fimD	PhageIntegrase/fimD
PhageIntegrase>/>fimD	PhageIntegrase|fimD
PhageIntegrase>/>Guanylate_cyc	PhageIntegrase|Guanylate_cyc
PhageIntegrase>>HYP	PhageIntegrase/HYP
PhageIntegrase>/>HYP	PhageIntegrase|HYP
PhageIntegrase</>mutS2,DUF304>/>PhageIntegrase	PhageIntegrase|mutS2
PhageIntegrase</>nanC	PhageIntegrase|nanC
PhageIntegrase><ompW,DUF892>/<HYP	PhageIntegrase/ompW
PhageIntegrase>/<R	PhageIntegrase|R
PhageIntegrase><rpsI	PhageIntegrase/rpsI
PhageIntegrase>>site-specific_tyrosine_recombinase_XerD,site-specific_tyrosine_recombinase_XerD	site-specific_tyrosine_recombinase_XerD
PhageIntegrase</>SnoaL_2	PhageIntegrase|SnoaL_2
PhageIntegrase>>SraC_RyeA,HYP</>Tnp_256	PhageIntegrase/SraC_RyeA
PhageIntegrase>/<Tnp_605	PhageIntegrase|Tnp_605
PhageIntegrase>/<Tnp_66	PhageIntegrase|Tnp_66
PhageIntegrase>/>UPF0149,L	L
PhageIntegrase>/<ybiP	PhageIntegrase|ybiP
Phage_sheath_1>>Phage_tube	Phage_sheath_1/Phage_tube
phage_tail_N>>HYP	phage_tail_N/HYP
phage_tail_N>>por	phage_tail_N/por
PhdYeFM>/>DUF1847	PhdYeFM|DUF1847
PhdYeFM</>Resolvase	PhdYeFM|Resolvase
P>>HYP	P/HYP
P>/>HYP	P|HYP
piiC>/<pilE	piiC|pilE
ppdK>/>HTH_20	ppdK|HTH_20
P,PhageIntegrase</>Tnp_3	P
PPK2</>ydhP	PPK2|ydhP
ppnK>/>trxB	ppnK|trxB
PRC>/<ramA	PRC|ramA
Pribosyltran>/>yvyD	Pribosyltran|yvyD
PriCT_1><sdrE	PriCT_1/sdrE
proB>/>proA	proB|proA
prsA>>dus	prsA/dus
prtR>/>Hemerythrin	prtR|Hemerythrin
ptsG>/>glnS	ptsG|glnS
pucI</>tetA	pucI|tetA
purA>/>tadA	purA|tadA
purB>/>phoP	purB|phoP
purE>/>purC	purE|purC
purP</>yidA	purP|yidA
puuC>>gbsA	puuC/gbsA
puuP>/>Tnp_21_2	puuP|Tnp_21_2
pyridoxamine_kinase>>Phos_pyr_kin	pyridoxamine_kinase/Phos_pyr_kin
R3H</>TPP	R3H|TPP
R>>AHSA1	R/AHSA1
raiA>/>Phe_leader	raiA|Phe_leader
rapH<>speG	rapH/speG
rbsB>/>HYP	rbsB|HYP
rcnR>/>thiM	rcnR|thiM
RDD</>rpfG	RDD|rpfG
RecA>/>rny	RecA|rny
Recombinase_Resolvase>/>DUF950	Recombinase_Resolvase|DUF950
recO>/>plsX	recO|plsX
RecT>>SraC_RyeA,HYP</>Tnp_256	RecT/SraC_RyeA
Reg_prop>>todS	Reg_prop/todS
RE_R_Pab1>>pgbA	RE_R_Pab1/pgbA
ResIII>>CbiA	ResIII/CbiA
Resolvase><zinc-responsive_transcriptional_regulator	Resolvase/zinc-responsive_transcriptional_regulator
Response_reg>/>HYP	Response_reg|HYP
Retroviral_aspartyl_protease>/<ptsG	Retroviral_aspartyl_protease|ptsG
R>/>HYP	R|HYP
R,HYP>/>Tnp_4	R
R>/<ivy	R|ivy
R,lacY>/<torI	R
rlmCD,HYP>/0	rlmCD
rlmCD>>HYP	rlmCD/HYP
RmlD_sub_bind>>Epimerase	RmlD_sub_bind/Epimerase
R>/>nhaA	R|nhaA
R>/>PhageIntegrase	R|PhageIntegrase
R>/>pkn1	R|pkn1
rplL>>rli38	rplL/rli38
rpmGA,HYP>/>DUF2874	rpmGA
rpmG>/>argA	rpmG|argA
rpoD>/>higB	rpoD|higB
rpoS>>invA	rpoS/invA
rpsA>/>R	rpsA|R
rpsI,HYP	rpsI
rpsR>/>DUF2232	rpsR|DUF2232
rsmG>/>pyrP	rsmG|pyrP
rssA>/>pgk	rssA|pgk
rstA>>rstB	rstA/rstB
R><Tnp_3	R/Tnp_3
R>/>Tnp_4	R|Tnp_4
rve>/>PhageIntegrase	rve|PhageIntegrase
R><Voltage_CLC	R/Voltage_CLC
RybB><TetR_N	RybB/TetR_N
R>/>ynaI	R|ynaI
sadH>/>corA	sadH|corA
salL>/>DUF1393	salL|DUF1393
sapB>>sapC	sapB/sapC
sbcC>>HYP	sbcC/HYP
SCO1-SenC</>ilvI	SCO1-SenC|ilvI
Secretin>>HYP	Secretin/HYP
selB>/>DUF1538	selB|DUF1538
selB>/>HYP	selB|HYP
selB>>U	selB/U
serB>/>lutA	serB|lutA
serS>>S	serS/S
shlA>>HYP	shlA/HYP
S>>HYP	S/HYP
S>/>HYP	S|HYP
sigE>>HYP	sigE/HYP
sixA>/>GspL_C	sixA|GspL_C
slt>/>HYP	slt|HYP
SMI1_KNR4>/>Resolvase,HYP>/0	SMI1_KNR4|Resolvase
smpB>/>Methyltransf_18	smpB|Methyltransf_18
SNF2_assoc>/>HYP	SNF2_assoc|HYP
S>/<ntpA	S|ntpA
sodA>/>HYP	sodA|HYP
soj>>HYP	soj/HYP
sopA>/>sbcB	sopA|sbcB
Sortase>/<recR	Sortase|recR
speF>>speC	speF/speC
S>/>PhageIntegrase	S|PhageIntegrase
SpoIID>>PG_binding_1	SpoIID/PG_binding_1
spoT>>bifunctional_(p)ppGpp_synthetase_II_guanosine-32C5-bis_pyrophosphate_3-pyrophosphohydrolase	spoT/bifunctional_(p)ppGpp_synthetase_II_guanosine-32C5-bis_pyrophosphate_3-pyrophosphohydrolase
spoVD>/>sigK	spoVD|sigK
SpoVR</>dadA	SpoVR|dadA
SraC_RyeA</>Tnp_256	SraC_RyeA|Tnp_256
S>/<recD2	S|recD2
srlE>>TraI_2	srlE/TraI_2
ssb>/>HYP	ssb|HYP
ssb>/>shlB	ssb|shlB
ssb>>ssb1	ssb/ssb1
START>/<gltA	START|gltA
STnc150><icd	STnc150/icd
S>/<Tnp_427	S|Tnp_427
S>/<Tnp_4	S|Tnp_4
S>/<Tnp_5	S|Tnp_5
sufB,DUF1863>/<HTH_3	sufB
sugB>>malK	sugB/malK
Sulfatase>/>HYP	Sulfatase|HYP
Sulfatase>/>ydfH	Sulfatase|ydfH
Sulfotransfer_1>/<syrM1	Sulfotransfer_1|syrM1
SusD>/>rsfS	SusD|rsfS
Tail_P2_I>>Phage_GPD,CyaR_RyeE,Phage_GPD	CyaR_RyeE
T-box>/>garK	T-box|garK
T,cmpB>/>PhageIntegrase	T
T,dmlR>/>HYP	T
T,dmlR>/>Tnp_2	T
TerC>/>Trypsin	TerC|Trypsin
TetR_N>>pks2	TetR_N/pks2
Thi4</>pth	Thi4|pth
thiC>>HYP	thiC/HYP
Thioredoxin</>UDPGT	Thioredoxin|UDPGT
T>/>HYP	T|HYP
T,LysR_substrate>/>Tnp_2	T
Tnp_1_2>/>ycgE	Tnp_1_2|ycgE
Tnp_150_1><rbsR	Tnp_150_1/rbsR
Tnp_150_1>/>Tnp_150	Tnp_150_1|Tnp_150
Tnp_150<>tkt	Tnp_150/tkt
Tnp_21_1>/>HYP	Tnp_21_1|HYP
Tnp_21_1>/<lldD	Tnp_21_1|lldD
Tnp_21_1>/>Tnp_21_2	Tnp_21_1|Tnp_21_2
Tnp_21_1>/>Tnp_21	Tnp_21_1|Tnp_21
Tnp_21_1</>Tnp_256	Tnp_21_1|Tnp_256
Tnp_21_1</>Tnp_66	Tnp_21_1|Tnp_66
Tnp_21_2>/>HYP	Tnp_21_2|HYP
Tnp_21>/<cypM	Tnp_21|cypM
Tnp_21>/>HTH_5	Tnp_21|HTH_5
Tnp_21>/>HYP	Tnp_21|HYP
Tnp_21>/>unknown	Tnp_21|CRISPR
Tnp_256><ompX	Tnp_256/ompX
Tnp_3</>dtpA	Tnp_3|dtpA
Tnp_3>/>HYP	Tnp_3|HYP
Tnp_3>/>Phage_Mu_F	Tnp_3|Phage_Mu_F
Tnp_3>/>Tnp_3_1o	Tnp_3|Tnp_3_1o
Tnp_427</>bphE	Tnp_427|bphE
Tnp_427>/<Tnp_DDE_Tnp_ISL3	Tnp_427|Tnp_DDE_Tnp_ISL3
Tnp_4>/>glpK	Tnp_4|glpK
Tnp_4>/>HYP	Tnp_4|HYP
Tnp_51>/>HYP	Tnp_51|HYP
Tnp_51>/<puuB	Tnp_51|puuB
Tnp_5>>DDE_Tnp_1	Tnp_5/DDE_Tnp_1
Tnp_5>/>glnH	Tnp_5|glnH
Tnp_66>/0	Tnp_66
Tnp_66>/>HYP	Tnp_66|HYP
Tnp_66>/>PRiA4_ORF3	Tnp_66|PRiA4_ORF3
Tnp_6</>rli23	Tnp_6|rli23
Tnp_982c>/>HTH_3	Tnp_982c|HTH_3
Tnp_RVT_1>/>PhageIntegrase	Tnp_RVT_1|PhageIntegrase
Tnp_T3p</>neo	Tnp_T3p|neo
Tnp_Transposase_31><traD	Tnp_Transposase_31/traD
TonB>/>uvrA	TonB|uvrA
topA>>TrbL	topA/TrbL
torS</>torT	torS|torT
TPR_1>>traD	TPR_1/traD
tpx>/>N6_Mtase	tpx|N6_Mtase
TraG-D_C>/>HYP	TraG-D_C|HYP
TraI_2>/>ywqD	TraI_2|ywqD
TrbL>/>HYP,DUF262	DUF262
TRF2>/>HYP	TRF2|HYP
trmB>/>ytnP	trmB|ytnP
tRNA_U5-meth_tr>/>NUDIX	tRNA_U5-meth_tr|NUDIX
trpA>/>DUF395	trpA|DUF395
trxB>/>pncB2	trxB|pncB2
T>/<Tnp_3	T|Tnp_3
TTSSLRR><phage_tail_N	TTSSLRR/phage_tail_N
U>/>Acetyltransf_1	U|Acetyltransf_1
ubiB>/>DUF255	ubiB|DUF255
U>/<espF(U)	U|espF(U)
U>>HYP	U/HYP
UPF0102>/>comM	UPF0102|comM
UPF0114>/>proV	UPF0114|proV
UPF0118</>yjcF	UPF0118|yjcF
UPF0118</>ylmA	UPF0118|ylmA
UPF0259>/>yciB	UPF0259|yciB
vanY>/>HYP	vanY|HYP
V><arfA	V/arfA
V>>HYP	V/HYP
VWA>/>estB	VWA|estB
VWA>>GATase_2	VWA/GATase_2
wecA>/>guaB	wecA|guaB
W>/>HYP	W|HYP
xpsE>>gspE	xpsE/gspE
xthA>>Exo_endo_phos	xthA/Exo_endo_phos
Y1_Tnp>>IU_nuc_hydro	Y1_Tnp/IU_nuc_hydro
ybeY>>HYP	ybeY/HYP
ybiS</>yheS	ybiS|yheS
yccF>/>HYP	yccF|HYP
ycgE</>yehU	ycgE|yehU
ychF>>HYP	ychF/HYP
YCII>>kch	YCII/kch
YCII>/<leuE	YCII|leuE
ydeA>/>fenF	ydeA|fenF
yedK>/>EamA	yedK|EamA
yehT>/>TspO_MBR	yehT|TspO_MBR
yfbT>/>asnA	yfbT|asnA
yghA>/>ccpA	yghA|ccpA
Y>/>guaA	Y|guaA
yhbE>>obgE	yhbE/obgE
YicC_N>/>HYP	YicC_N|HYP
yigZ>/>cysK	yigZ|cysK
yjcD>/>HYP	yjcD|HYP
yjcD>>uvrD	yjcD/uvrD
yjdF>/>HYP	yjdF|HYP
YqaJ>>HYP	YqaJ/HYP
yraA>/>gstB	yraA|gstB
ywlC>/>Peptidase_M50	ywlC|Peptidase_M50
ywqJ>>HYP	ywqJ/HYP
yycG>/>HlyD_2	yycG|HlyD_2
Z>/>dinI	Z|dinI
Z>/>EamA	Z|EamA
Z,HYP>/>PhageIntegrase	Z
Z>/>HYP	Z|HYP
Z>>intA	Z/intA
Z,PhageIntegrase>/>HYP	Z
Z,PhageIntegrase>/>intA	Z
zraS>/>lecA	zraS|lecA
Z>/<yagU	Z|yagU
